HTTrack3.49-2+htsswf+htsjava launched on Sat, 12 May 2018 19:00:54 at www.iyte.edu.tr/ -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/*
(winhttrack -qwC2%P%s%uN101%Ip1dc8H0%kf2A2500000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "tr, *" www.iyte.edu.tr/ -O1 "C:\Benim Web Sitem\iyt\iyt" -ad.doubleclick.net/* -mime:application/foobar +*[name].*[name]www.iyte.edu.tr/*[name].*[name]/* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

19:36:33	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\425.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23040)
19:39:53	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 233964 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/İYTE-MAKALE-İç-Kontrolün-Tarihçesi.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23040)
19:39:53	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 21154 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/İYTE-COSO-2013-Yol-Haritası-SEDA-TIĞDEMİR.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=23040)
19:39:53	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 50678 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/İYTE-SÜREÇ-ÜZERİNDEN-RİSK-VE-KONTROL-FAALİYETLERİ-BELİRLEME.xlsx (from www.iyte.edu.tr/AltSayfa.aspx?m=23040)
19:39:53	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\809.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23040)
19:39:53	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 97968 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\82.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=43)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 1077869 expected)) at link strateji.iyte.edu.tr/wp-content/uploads/2017/11/Stratejik-Plan-Koordinatörlük-Kararları.docx (from www.iyte.edu.tr/AltSayfa.aspx?m=43)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\666.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=43)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 116626 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\347.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1202)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\677.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1202)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 88506 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\417.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=45)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 30004 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\417.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=45)
19:39:54	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\85.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=79)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\620.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=79)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 69540 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\86.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=81)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\716.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=81)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\343.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1133)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\648.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1133)
19:39:55	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\174.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=80)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\667.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=80)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 148383 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\346.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1134)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\721.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1134)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\422.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23015)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\806.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=23015)
19:39:56	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 85537 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\404.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=2249)
19:39:57	Warning: 	Note: due to donersermaye.iyte.edu.tr remote robots.txt rules, links beginning with these path will be forbidden: /wp-admin/ (see in the options to disable this)
19:39:59	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 31011 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\631.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=2249)
19:39:59	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 202133 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\377.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1708)
19:40:00	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 30776 expected)) at link www.iyte.edu.tr/Image.ashx?f=YanResim\\396.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=1708)
19:40:01	Warning: 	Retry after error -4 (Incorrect length (0 Bytes, 76006 expected)) at link www.iyte.edu.tr/Image.ashx?f=UstResim\\420.jpg (from www.iyte.edu.tr/AltSayfa.aspx?m=12930)
19:40:04	Warning: 	file not stored in cache due to bogus state (incomplete type with OK (200), size 0): research.iyte.edu.tr/wp-admin/admin-ajax.php?action=wordfence_logHuman&hid=CF2167D05E05D39D27C5A476F5B93FAE
